Time,Damp2000_UX,Damp2010_UX,Damp3000_UX,Damp3010_UX
1,4.354373998E-02,4.355717395E-02,-4.354373999E-02,-4.355717396E-02
2,7.189939384E-02,7.194627354E-02,-7.153375025E-02,-7.158021565E-02
2.01,7.202794392E-02,7.207536011E-02,-7.165497199E-02,-7.170196565E-02
2.02,7.215013668E-02,7.219809564E-02,-7.176985778E-02,-7.181738636E-02
2.03,7.226585959E-02,7.231437084E-02,-7.187838993E-02,-7.192646369E-02
2.04,7.237509563E-02,7.242416859E-02,-7.19804336E-02,-7.202906272E-02
2.05,7.247777223E-02,7.252741921E-02,-7.207552434E-02,-7.212472031E-02
2.06,7.257351248E-02,7.262375172E-02,-7.216295969E-02,-7.221273732E-02
2.07,7.266133973E-02,7.271219221E-02,-7.22420834E-02,-7.229245984E-02
2.08,7.273995322E-02,7.279143902E-02,-7.231210415E-02,-7.236309948E-02
2.09,7.280843062E-02,7.286056806E-02,-7.237148036E-02,-7.242311461E-02
2.1,7.286613116E-02,7.291893987E-02,-7.241811036E-02,-7.247039749E-02
2.11,7.291181819E-02,7.296531795E-02,-7.245029128E-02,-7.250323764E-02
2.12,7.294346466E-02,7.299766879E-02,-7.246698874E-02,-7.252059766E-02
2.13,7.295925972E-02,7.30141715E-02,-7.246689671E-02,-7.252117044E-02
2.14,7.295789788E-02,7.301351446E-02,-7.244820849E-02,-7.250314302E-02
2.15,7.293788427E-02,7.299419856E-02,-7.240936442E-02,-7.246494689E-02
2.16,7.28968989E-02,7.295389505E-02,-7.23497353E-02,-7.24059479E-02
2.17,7.283212319E-02,7.288977131E-02,-7.226933732E-02,-7.232616238E-02
2.18,7.274182884E-02,7.280008529E-02,-7.216727972E-02,-7.222469952E-02
2.19,7.262497999E-02,7.268379695E-02,-7.20421938E-02,-7.21001812E-02
2.2,7.248025002E-02,7.253957594E-02,-7.189324261E-02,-7.195176108E-02
2.21,7.230746121E-02,7.236723741E-02,-7.171870292E-02,-7.177771059E-02
2.22,7.21066581E-02,7.216682792E-02,-7.151690925E-02,-7.157635051E-02
2.23,7.187661226E-02,7.19371165E-02,-7.128776194E-02,-7.134757289E-02
2.24,7.161623647E-02,7.167700347E-02,-7.103132208E-02,-7.109144141E-02
2.25,7.132524878E-02,7.138620146E-02,-7.074715242E-02,-7.080751547E-02
2.26,7.100443342E-02,7.106549429E-02,-7.04340582E-02,-7.049459305E-02
2.27,7.065497615E-02,7.071607188E-02,-7.009075003E-02,-7.015137406E-02
2.28,7.027675051E-02,7.033781001E-02,-6.971755287E-02,-6.977817588E-02
2.29,6.986885638E-02,6.992979902E-02,-6.931586001E-02,-6.937639719E-02
2.3,6.943138082E-02,6.949211732E-02,-6.888636228E-02,-6.894673446E-02
2.31,6.896466678E-02,6.902510838E-02,-6.842976712E-02,-6.848989279E-02
2.32,6.846842865E-02,6.852848473E-02,-6.79476691E-02,-6.800746786E-02
2.33,6.794266634E-02,6.800224009E-02,-6.744162011E-02,-6.750101817E-02
2.34,6.73882919E-02,6.744728616E-02,-6.691248582E-02,-6.697141114E-02
2.35,6.680784245E-02,6.686616618E-02,-6.635971476E-02,-6.641809154E-02
2.36,6.620652942E-02,6.62641084E-02,-6.578027026E-02,-6.583800919E-02
2.37,6.559021922E-02,6.564700869E-02,-6.517063042E-02,-6.522761685E-02
2.38,6.496110952E-02,6.501708441E-02,-6.453109222E-02,-6.458719676E-02
2.39,6.43194101E-02,6.437453539E-02,-6.386407095E-02,-6.391917972E-02
2.4,6.366522278E-02,6.371945215E-02,-6.317220056E-02,-6.322621724E-02
2.41,6.299643055E-02,6.304971035E-02,-6.246042532E-02,-6.251326763E-02
2.42,6.231122042E-02,6.236347468E-02,-6.173345803E-02,-6.178507327E-02
2.43,6.161014836E-02,6.166129388E-02,-6.099369683E-02,-6.104404712E-02
2.44,6.089373838E-02,6.094370043E-02,-6.02436087E-02,-6.029265561E-02
2.45,6.01626701E-02,6.021137405E-02,-5.948552522E-02,-5.953323834E-02
2.46,5.941880641E-02,5.946618223E-02,-5.872059925E-02,-5.876695188E-02
2.47,5.866543059E-02,5.871142171E-02,-5.794855317E-02,-5.799351353E-02
2.48,5.790790584E-02,5.795247567E-02,-5.716700583E-02,-5.721053059E-02
2.49,5.715115791E-02,5.719429851E-02,-5.637397758E-02,-5.641600313E-02
2.5,5.639729956E-02,5.643901729E-02,-5.557025461E-02,-5.561071132E-02
2.51,5.564541939E-02,5.568571318E-02,-5.475959013E-02,-5.479842392E-02
2.52,5.489220659E-02,5.493105527E-02,-5.394807074E-02,-5.398525551E-02
2.53,5.413548252E-02,5.417283963E-02,-5.314057718E-02,-5.317611979E-02
2.54,5.337596521E-02,5.341177928E-02,-5.233901336E-02,-5.237293299E-02
2.55,5.261486824E-02,5.264910005E-02,-5.154470231E-02,-5.157701294E-02
2.56,5.185386298E-02,5.188647988E-02,-5.075842021E-02,-5.078913578E-02
2.57,5.109579049E-02,5.112677026E-02,-4.997968176E-02,-5.000881199E-02
2.58,5.034445235E-02,5.037379022E-02,-4.920694842E-02,-4.923449126E-02
2.59,4.960447352E-02,4.963218347E-02,-4.843776632E-02,-4.846370611E-02
2.6,4.887897749E-02,4.890509269E-02,-4.767109448E-02,-4.769540092E-02
2.61,4.816877465E-02,4.819333036E-02,-4.690812369E-02,-4.693076825E-02
2.62,4.747352418E-02,4.749654504E-02,-4.615112997E-02,-4.61720978E-02
2.63,4.679352697E-02,4.681502799E-02,-4.540171984E-02,-4.542100811E-02
2.64,4.612846073E-02,4.614845556E-02,-4.466226452E-02,-4.467987608E-02
2.65,4.547520849E-02,4.54936919E-02,-4.393816776E-02,-4.395411975E-02
2.66,4.48293296E-02,4.484622297E-02,-4.323560183E-02,-4.324994387E-02
2.67,4.418835349E-02,4.420353325E-02,-4.255815229E-02,-4.257095836E-02
2.68,4.355485719E-02,4.356823834E-02,-4.190465552E-02,-4.191598529E-02
2.69,4.293194717E-02,4.29435003E-02,-4.127303383E-02,-4.128287782E-02
2.7,4.232251172E-02,4.233223485E-02,-4.066073803E-02,-4.066905278E-02
2.71,4.173066451E-02,4.173858014E-02,-4.006410784E-02,-4.007086531E-02
2.72,4.115558838E-02,4.116174405E-02,-3.948452484E-02,-3.948970054E-02
2.73,4.059473459E-02,4.059915924E-02,-3.892506509E-02,-3.892866986E-02
2.74,4.005084448E-02,4.005355955E-02,-3.838349494E-02,-3.838556213E-02
2.75,3.952870762E-02,3.952977075E-02,-3.785549178E-02,-3.785602967E-02
2.76,3.903256568E-02,3.903206158E-02,-3.733724433E-02,-3.733624391E-02
2.77,3.856495864E-02,3.856298823E-02,-3.682660235E-02,-3.682404657E-02
2.78,3.812217225E-02,3.811883547E-02,-3.632763138E-02,-3.632351133E-02
2.79,3.769584421E-02,3.769119683E-02,-3.584900638E-02,-3.584336358E-02
2.8,3.728234159E-02,3.727639219E-02,-3.539463626E-02,-3.53875648E-02
2.81,3.688455763E-02,3.687732338E-02,-3.496186738E-02,-3.495345741E-02
2.82,3.650406225E-02,3.649559491E-02,-3.454933347E-02,-3.453964452E-02
2.83,3.614193871E-02,3.613229411E-02,-3.41561198E-02,-3.414521064E-02
2.84,3.580199671E-02,3.579123999E-02,-3.377855134E-02,-3.376647418E-02
2.85,3.548700606E-02,3.547522969E-02,-3.341395983E-02,-3.34007418E-02
2.86,3.51964512E-02,3.51837505E-02,-3.306293007E-02,-3.304859715E-02
2.87,3.493058405E-02,3.49170418E-02,-3.272524791E-02,-3.270983989E-02
2.88,3.469292561E-02,3.467863023E-02,-3.239739939E-02,-3.238095119E-02
2.89,3.448317716E-02,3.446823686E-02,-3.207965963E-02,-3.206218673E-02
2.9,3.429649031E-02,3.428099115E-02,-3.177682311E-02,-3.17583631E-02
2.91,3.412908749E-02,3.41130779E-02,-3.149258373E-02,-3.147321147E-02
2.92,3.397593723E-02,3.395945182E-02,-3.123185976E-02,-3.121166312E-02
2.93,3.383194722E-02,3.381499264E-02,-3.099960065E-02,-3.097869438E-02
2.94,3.369764027E-02,3.368020862E-02,-3.079511105E-02,-3.077362307E-02
2.95,3.357636988E-02,3.355848166E-02,-3.061483481E-02,-3.059286293E-02
2.96,3.347372341E-02,3.345542787E-02,-3.045295102E-02,-3.043056234E-02
2.97,3.339541377E-02,3.337679385E-02,-3.030348177E-02,-3.028070757E-02
2.98,3.333828436E-02,3.331944051E-02,-3.016928677E-02,-3.014613845E-02
2.99,3.329631631E-02,3.327729954E-02,-3.005605611E-02,-3.003259207E-02
3,3.326846245E-02,3.324929233E-02,-2.996447656E-02,-2.994078402E-02
3.01,3.325410434E-02,3.323481323E-02,-2.989477397E-02,-2.987092465E-02
3.02,3.325179074E-02,3.323240549E-02,-2.984797426E-02,-2.982404252E-02
3.03,3.326000037E-02,3.324054075E-02,-2.982514043E-02,-2.98012048E-02
3.04,3.32792716E-02,3.325975501E-02,-2.982524272E-02,-2.980138109E-02
3.05,3.331397638E-02,3.329443398E-02,-2.984338442E-02,-2.981965788E-02
3.06,3.336822946E-02,3.334872597E-02,-2.987489219E-02,-2.98513252E-02
3.07,3.344234958E-02,3.342296159E-02,-2.991885468E-02,-2.989545668E-02
3.08,3.353383163E-02,3.351462069E-02,-2.997715062E-02,-2.995394305E-02
3.09,3.364233042E-02,3.362333906E-02,-3.004946568E-02,-3.002648597E-02
3.1,3.377077882E-02,3.375205677E-02,-3.013217453E-02,-3.010944987E-02
3.11,3.391815595E-02,3.389977072E-02,-3.022557271E-02,-3.020310947E-02
3.12,3.407862882E-02,3.406062293E-02,-3.033473544E-02,-3.031256205E-02
3.13,3.424961331E-02,3.423199104E-02,-3.046145794E-02,-3.043963816E-02
3.14,3.443127441E-02,3.441404393E-02,-3.060475596E-02,-3.058334678E-02
3.15,3.461934143E-02,3.460251596E-02,-3.076805097E-02,-3.074710151E-02
3.16,3.480939506E-02,3.479295554E-02,-3.095488417E-02,-3.093447302E-02
3.17,3.500391564E-02,3.498783505E-02,-3.116186976E-02,-3.114208075E-02
3.18,3.520672052E-02,3.519101141E-02,-3.138425805E-02,-3.136513271E-02
3.19,3.541742326E-02,3.540211625E-02,-3.162147672E-02,-3.160303586E-02
3.2,3.56341681E-02,3.56192791E-02,-3.187439796E-02,-3.185667446E-02
3.21,3.585929958E-02,3.584483969E-02,-3.213967064E-02,-3.212269971E-02
3.22,3.609537713E-02,3.60813822E-02,-3.241370688E-02,-3.239749651E-02
3.23,3.634114458E-02,3.632765904E-02,-3.269671347E-02,-3.268126066E-02
3.24,3.659721211E-02,3.658426319E-02,-3.298701193E-02,-3.297232855E-02
3.25,3.686622068E-02,3.685384891E-02,-3.328087585E-02,-3.326695824E-02
3.26,3.714620505E-02,3.713446281E-02,-3.357916895E-02,-3.35659994E-02
3.27,3.743128986E-02,3.742019988E-02,-3.388665105E-02,-3.387423941E-02
3.28,3.771926934E-02,3.770882065E-02,-3.420440121E-02,-3.419278896E-02
3.29,3.800931722E-02,3.799950419E-02,-3.45321097E-02,-3.452133105E-02
3.3,3.829593876E-02,3.828675299E-02,-3.487412725E-02,-3.486421721E-02
3.31,3.857255223E-02,3.856394634E-02,-3.523588617E-02,-3.522691681E-02
3.32,3.883550637E-02,3.882741009E-02,-3.561988613E-02,-3.561195055E-02
3.33,3.908387246E-02,3.907621769E-02,-3.602590391E-02,-3.601909122E-02
3.34,3.932274755E-02,3.931548368E-02,-3.64476914E-02,-3.644207121E-02
3.35,3.956357878E-02,3.955671139E-02,-3.687265123E-02,-3.686823501E-02
3.36,3.981499828E-02,3.980860632E-02,-3.729100073E-02,-3.72877246E-02
3.37,4.00774659E-02,4.007164824E-02,-3.770112948E-02,-3.769890779E-02
3.38,4.034930264E-02,4.034412956E-02,-3.810356918E-02,-3.810234336E-02
3.39,4.063270603E-02,4.062823505E-02,-3.849498125E-02,-3.849470416E-02
3.4,4.093059537E-02,4.092690252E-02,-3.887131096E-02,-3.887191576E-02
