Time,Damp2000_FX,Damp2010_FX,Damp3000_FX,Damp3010_FX
1.E-04,0,0,0,0
2.E-04,0,0,0,0
3.5E-04,0,0,0,0
5.5E-04,0,0,0,0
7.5E-04,0,0,0,0
8.75E-04,0,0,0,0
1.E-03,0,0,0,0
2.E-03,-402.847992,-493.304626,454.607941,521.498474
1.2E-02,306.02063,-576.312073,-563.402405,508.183533
2.2E-02,-942.56781,-751.171875,-1503.26709,-1283.82483
3.2E-02,-2094.26807,-2014.53003,-2673.5835,-2520.23242
4.2E-02,-3371.59326,-3320.6311,-4087.35327,-4013.24146
5.2E-02,-4939.25146,-4901.58398,-5517.2959,-5457.19141
6.2E-02,-6598.71924,-6560.15625,-7169.57861,-7118.86279
7.2E-02,-8434.21484,-8401.24023,-8912.33496,-8870.80469
8.2E-02,-10078.9043,-10068.9346,-10522.0049,-10504.3105
9.2E-02,-11523.5703,-11522.8057,-11912.7852,-11907.1152
0.102,-13169.1699,-13153.46,-13515.918,-13495.8076
0.112,-15305.4414,-15271.4141,-15596.8271,-15561.0547
0.122,-17662.8555,-17633.0703,-17906.8027,-17874.6055
0.132,-19879.9336,-19863.3418,-20080.5684,-20062.7891
0.142,-22020.9277,-22006.7461,-22183.8691,-22167.8516
0.152,-24241.4863,-24226.8828,-24369.1211,-24353.6406
0.162,-26438.5117,-26432.5781,-26534.2266,-26526.834
0.172,-28267.8105,-28286.2559,-28335.2793,-28352.8594
0.182,-29430.5215,-29478.1035,-29472.1953,-29518.4004
0.192,-30123.7441,-30182.875,-30141.127,-30199.3652
0.202,-30472.9512,-30548.502,-30466.0879,-30540.3496
0.212,-30382.998,-30472.2109,-30352.1973,-30440.5137
0.222,-30257.5273,-30336.1973,-30202.2734,-30279.6738
0.232,-30211.4023,-30292.1836,-30132.5117,-30212.3398
0.242,-29860.918,-29955.6133,-29757.498,-29850.9609
0.252,-29161.0996,-29263.1758,-29032.4336,-29133.5547
0.262,-28213.4961,-28319.1973,-28057.8281,-28162.3047
0.272,-27393.8262,-27479.0898,-27211.957,-27296.0781
0.282,-26997.5781,-27064.3555,-26792.1133,-26857.334
0.292,-26637.3242,-26708.3145,-26409.7012,-26479.3203
0.302,-25935.9492,-26016.8105,-25683.7891,-25763.127
0.312,-24980.5078,-25062.5156,-24702.1113,-24782.7402
0.322,-23637.3789,-23737.9629,-23327.7949,-23427.0215
0.332,-21393.3945,-21531.1582,-21038.3457,-21175.5488
0.342,-17852.2168,-18039.6465,-17416.8477,-17605.1895
0.352,-12452.6562,-12721.1455,-11826.8691,-12103.9463
0.362,-3410.10425,-3994.06665,1520.78796,-1369.56982
0.372,5037.69482,5180.0498,4591.25781,4729.87891
0.382,-6785.42871,-6156.3584,-6809.60596,-6156.896
0.392,-13411.7949,-12970.9141,-13102.6494,-12633.4092
0.402,-20245.9238,-19911.3887,-20023.4688,-19679.0156
0.412,-26769.2773,-26525.7734,-26512.875,-26261.1445
0.422,-31800.6777,-31648.9629,-31578.4336,-31422.9316
0.432,-35550.1367,-35449.3281,-35321.9688,-35217.8477
0.442,-38495.3438,-38431.4922,-38280.9219,-38215.0508
0.452,-40603.3789,-40580.1289,-40386.6836,-40361.7344
0.462,-41974.6836,-41976.418,-41763.9922,-41764.5938
0.472,-42940.9297,-42954.3398,-42728.582,-42740.9961
0.482,-43998.1523,-43996.6289,-43791.7617,-43789.4258
0.492,-45963.1992,-45917.8125,-45762.875,-45716.582
0.502,-49065.8516,-48988.9648,-48879.7383,-48802.0469
0.512,-52868.9023,-52782.082,-52695.375,-52607.8672
0.522,-56675.7734,-56609.3164,-56516.0195,-56449.1094
0.532,-59754.1016,-59727.5156,-59603.3047,-59576.4688
0.542,-61985.3047,-61987.0938,-61842.7266,-61844.4297
0.552,-63631.5859,-63652.8203,-63494.418,-63515.6602
0.562,-64750.918,-64791.5352,-64619.3086,-64660.0352
0.572,-65509.5547,-65556.2031,-65381.7852,-65428.5938
0.582,-66221.3281,-66263.4766,-66098.3281,-66140.6641
0.592,-67234.7109,-67257.3672,-67116.1328,-67138.9688
0.602,-68944.9766,-68937.8438,-68832.6094,-68825.6406
0.612,-71336.2812,-71310.9453,-71230.1562,-71204.9688
0.622,-74149.8516,-74114.6562,-74050.6875,-74015.6484
0.632,-77157.2656,-77120.5469,-77064.25,-77027.6953
0.642,-80293.6172,-80254.2891,-80206.8359,-80167.6797
0.652,-83324.5859,-83300.4141,-83243.0156,-83219.0234
0.662,-85683.7109,-85693.7812,-85606.6953,-85616.9922
0.672,-87030.9062,-87077.6875,-86956.9766,-87004.0156
0.682,-87436.8438,-87508.8906,-87365.4062,-87437.7266
0.692,-87415.5312,-87488.8828,-87345.8516,-87419.4609
0.702,-87184.6797,-87263.5859,-87116.7656,-87195.9375
0.712,-86965.5703,-87029.9453,-86899.0859,-86963.7031
0.722,-87131.0156,-87179.4141,-87066.375,-87115
0.732,-87199.4141,-87261.75,-87136.2109,-87198.7656
0.742,-86952.6875,-87013.8438,-86890.7969,-86952.1641
0.752,-86950.9453,-86989.7344,-86890.2422,-86929.2031
0.762,-87581.0469,-87591.3828,-87522.0156,-87532.4922
