Time,Node36_UX,Node107_UX
1,0.291120065,-0.291120065
2,0.395382939,-0.392439323
2.01,0.394519349,-0.391516323
2.02,0.393577918,-0.390514454
2.03,0.392552973,-0.389428136
2.04,0.391437795,-0.388250552
2.05,0.390225795,-0.386974717
2.06,0.388911056,-0.385594322
2.07,0.387488495,-0.384104488
2.08,0.385954235,-0.382501775
2.09,0.384306306,-0.380783617
2.1,0.382544571,-0.378948358
2.11,0.380669825,-0.376996017
2.12,0.378683384,-0.374928508
2.13,0.376587813,-0.372748685
2.14,0.37438709,-0.370459937
2.15,0.372085872,-0.368066682
2.16,0.369688685,-0.365574935
2.17,0.367199971,-0.36299203
2.18,0.364625447,-0.36032504
2.19,0.361971745,-0.357580941
2.2,0.359245464,-0.354767362
2.21,0.356454448,-0.35189114
2.22,0.353606868,-0.348959085
2.23,0.350709724,-0.34597933
2.24,0.347769944,-0.342960118
2.25,0.344794932,-0.339909136
2.26,0.341792944,-0.336833052
2.27,0.338772512,-0.333737999
2.28,0.335740751,-0.330631209
2.29,0.332703637,-0.327520666
2.3,0.329667549,-0.324413522
2.31,0.32663867,-0.321316654
2.32,0.323622171,-0.318237443
2.33,0.320622994,-0.315182981
2.34,0.31764647,-0.312159418
2.35,0.314699203,-0.309171078
2.36,0.311790367,-0.306219152
2.37,0.308930074,-0.303303327
2.38,0.306125166,-0.300425993
2.39,0.303380291,-0.297591172
2.4,0.300699318,-0.294803115
2.41,0.298083286,-0.292068354
2.42,0.2955327,-0.289393419
2.43,0.293049566,-0.286782819
2.44,0.290635476,-0.284240967
2.45,0.288291886,-0.281771911
2.46,0.28602109,-0.279378383
2.47,0.283826675,-0.277061353
2.48,0.281714432,-0.274819136
2.49,0.279690124,-0.272649633
2.5,0.277757092,-0.270552745
2.51,0.275915522,-0.268531118
2.52,0.274162564,-0.266590039
2.53,0.272495552,-0.264734229
2.54,0.270913958,-0.262965901
2.55,0.269417582,-0.261286585
2.56,0.268006676,-0.259697013
2.57,0.266682644,-0.258196433
2.58,0.265448029,-0.256782627
2.59,0.264306529,-0.255451906
2.6,0.263260751,-0.254201359
2.61,0.262311174,-0.253029886
2.62,0.261456839,-0.251937496
2.63,0.260696878,-0.250923718
2.64,0.260028899,-0.249988917
2.65,0.259446605,-0.249136572
2.66,0.258943286,-0.248371391
2.67,0.258515286,-0.247695612
2.68,0.258162855,-0.247106433
2.69,0.257886563,-0.246601255
2.7,0.257687357,-0.246177898
2.71,0.257567649,-0.245831972
2.72,0.25752538,-0.245563065
2.73,0.257556579,-0.245372497
2.74,0.257661884,-0.245256764
2.75,0.257844214,-0.245209911
2.76,0.258106735,-0.24522557
2.77,0.258451452,-0.245298384
2.78,0.258874346,-0.245428879
2.79,0.259366051,-0.245622801
2.8,0.259920417,-0.245882554
2.81,0.260537078,-0.24620465
2.82,0.261214896,-0.246586275
2.83,0.261952701,-0.247024552
2.84,0.26275214,-0.247513709
2.85,0.263614362,-0.248048396
2.86,0.264537705,-0.248626011
2.87,0.26552113,-0.249243271
2.88,0.266566775,-0.24989367
2.89,0.267673437,-0.250573998
2.9,0.268835427,-0.251285503
2.91,0.270047248,-0.252029211
2.92,0.271301433,-0.252808099
2.93,0.27258982,-0.253625829
2.94,0.273909117,-0.254481184
2.95,0.275259017,-0.255369964
2.96,0.276642265,-0.256284926
2.97,0.278062681,-0.257217764
2.98,0.279516159,-0.258168118
2.99,0.280995358,-0.259138891
3,0.282496717,-0.260129229
3.01,0.284016919,-0.261138074
3.02,0.285551965,-0.262165086
3.03,0.287097626,-0.2632102
3.04,0.288651619,-0.264271457
3.05,0.290215669,-0.265342938
3.06,0.291792045,-0.26641824
3.07,0.293380038,-0.267494
3.08,0.294976214,-0.268569647
3.09,0.296578896,-0.269642916
3.1,0.298189613,-0.270708412
3.11,0.299806496,-0.271764214
3.12,0.301422919,-0.272813233
3.13,0.303034615,-0.273856104
3.14,0.304639631,-0.274891228
3.15,0.306231837,-0.275921271
3.16,0.307804578,-0.276949513
3.17,0.309357454,-0.277973068
3.18,0.310891928,-0.278987277
3.19,0.312406219,-0.279990826
3.2,0.313897192,-0.280983849
3.21,0.315365669,-0.281962623
3.22,0.316813092,-0.282922904
3.23,0.318237737,-0.283863719
3.24,0.319639694,-0.284782381
3.25,0.321021142,-0.285674222
3.26,0.322380219,-0.286538719
3.27,0.323711038,-0.287379483
3.28,0.325010491,-0.28819745
3.29,0.326276513,-0.288992623
3.3,0.327502518,-0.289769628
3.31,0.328680232,-0.290534894
3.32,0.329803352,-0.291292979
3.33,0.330867947,-0.292046176
3.34,0.331876306,-0.292790669
3.35,0.332838099,-0.293515367
3.36,0.33376222,-0.294210073
3.37,0.334650984,-0.29487129
3.38,0.335504611,-0.295497722
3.39,0.336326747,-0.296084767
3.4,0.337122049,-0.296626921
3.41,0.337890733,-0.297123246
3.42,0.33863449,-0.297571458
3.43,0.339358332,-0.297966094
3.44,0.340062809,-0.298306363
3.45,0.34074214,-0.298598394
3.46,0.341385721,-0.298853211
3.47,0.341987012,-0.299076827
3.48,0.342547253,-0.299267237
3.49,0.343074277,-0.299416338
3.5,0.343579258,-0.299512936
3.51,0.344064624,-0.299554689
3.52,0.344528783,-0.299543377
3.53,0.344978424,-0.299472599
3.54,0.345424254,-0.299332021
3.55,0.345870465,-0.299117905
3.56,0.346309116,-0.298838707
3.57,0.346723619,-0.298511615
3.58,0.347098178,-0.298153167
3.59,0.347421488,-0.297775616
3.6,0.347689503,-0.297384609
3.61,0.347908571,-0.296975236
3.62,0.348082784,-0.296543874
3.63,0.348209346,-0.296093913
3.64,0.348288476,-0.295626139
3.65,0.348323001,-0.29513882
3.66,0.348321025,-0.294625023
3.67,0.348293002,-0.294075518
3.68,0.348240709,-0.293489809
3.69,0.348163312,-0.292870068
3.7,0.348057374,-0.292221136
3.71,0.347916951,-0.291550417
3.72,0.347740968,-0.290860499
3.73,0.347532245,-0.290150116
3.74,0.347298489,-0.289413156
3.75,0.347043987,-0.288646957
3.76,0.34676121,-0.287860705
3.77,0.346441857,-0.287064393
3.78,0.346085274,-0.286260404
3.79,0.345696108,-0.285445843
3.8,0.345278669,-0.284618173
3.81,0.344828775,-0.283783362
3.82,0.344339236,-0.282950406
3.83,0.34380394,-0.28212724
3.84,0.343215588,-0.281323
3.85,0.342576336,-0.280537374
3.86,0.341899998,-0.2797584
3.87,0.341200947,-0.278973549
3.88,0.340490855,-0.278172995
3.89,0.33978086,-0.277347441
3.9,0.339081001,-0.276488689
3.91,0.338399307,-0.275590546
3.92,0.337738291,-0.274652327
3.93,0.337095469,-0.273678338
3.94,0.336460813,-0.272680418
3.95,0.33581751,-0.271677183
3.96,0.335161784,-0.2706742
3.97,0.33450082,-0.269666059
3.98,0.333833428,-0.268655711
3.99,0.333151434,-0.267653068
4,0.332452251,-0.266662437
4.01,0.33174092,-0.265680478
4.02,0.331022233,-0.264704075
4.03,0.330298023,-0.263733042
4.04,0.329571371,-0.262765923
4.05,0.328846204,-0.261800384
4.06,0.328120791,-0.260839722
4.07,0.327390891,-0.259889714
4.08,0.326656136,-0.258952238
4.09,0.325916565,-0.258028727
4.1,0.32516897,-0.257123834
4.11,0.324410379,-0.256241939
4.12,0.323643473,-0.255381738
4.13,0.322877369,-0.254535451
4.14,0.3221191,-0.253697349
4.15,0.321366376,-0.252870982
4.16,0.320615477,-0.252061296
4.17,0.319872814,-0.251263071
4.18,0.319146835,-0.250469005
4.19,0.318439216,-0.249678531
4.2,0.317753437,-0.248889238
4.21,0.317092334,-0.248099319
4.22,0.316450443,-0.247315223
4.23,0.31582068,-0.246544981
4.24,0.315198392,-0.245794152
4.25,0.314578491,-0.245068691
4.26,0.313951211,-0.244379186
4.27,0.313309637,-0.243733336
4.28,0.312665679,-0.243119972
4.29,0.312038697,-0.24252043
4.3,0.311434564,-0.241929488
4.31,0.310853007,-0.241348026
4.32,0.310297178,-0.240773459
4.33,0.309766179,-0.240207212
4.34,0.309253163,-0.239656612
4.35,0.308761797,-0.239118434
4.36,0.308313118,-0.23857204
4.37,0.307930786,-0.237994125
4.38,0.307630995,-0.237368808
4.39,0.307412714,-0.236697379
4.4,0.307261024,-0.235994957
4.41,0.307157633,-0.235279969
4.42,0.307077419,-0.234577618
4.43,0.306992696,-0.233915622
4.44,0.306890477,-0.233306988
4.45,0.306774833,-0.232747671
4.46,0.30664256,-0.232240878
4.47,0.306490296,-0.231789961
4.48,0.306334333,-0.23137863
4.49,0.306193701,-0.230987791
4.5,0.306072739,-0.230612853
4.51,0.305965284,-0.230259293
4.52,0.305876549,-0.229921424
4.53,0.305828003,-0.229577902
4.54,0.305832505,-0.22921576
4.55,0.305877151,-0.228847595
4.56,0.305945523,-0.228489609
4.57,0.306042176,-0.228137014
4.58,0.306184631,-0.227771989
4.59,0.306382069,-0.22738498
4.6,0.306623683,-0.226986395
4.61,0.306892703,-0.226592591
4.62,0.30718107,-0.226211193
4.63,0.307483722,-0.225846792
4.64,0.307797002,-0.225502538
4.65,0.308121213,-0.225177592
4.66,0.308450362,-0.22487738
4.67,0.308778911,-0.224606848
4.68,0.309114868,-0.22435737
4.69,0.309453805,-0.224132731
4.7,0.309773504,-0.22395449
4.71,0.310061537,-0.223834381
4.72,0.310307889,-0.223781692
4.73,0.310509773,-0.223798444
4.74,0.31068326,-0.223867763
4.75,0.310844325,-0.223972827
4.76,0.311005281,-0.224100429
4.77,0.311173178,-0.224242522
4.78,0.311347521,-0.224396975
4.79,0.311526783,-0.224564295
4.8,0.311711957,-0.224745077
4.81,0.31191333,-0.22492862
4.82,0.312143477,-0.225101246
4.83,0.312410568,-0.225254112
4.84,0.312718,-0.225383025
4.85,0.313064731,-0.225488308
4.86,0.313449701,-0.22557025
4.87,0.313865623,-0.225635401
4.88,0.314302306,-0.225693189
4.89,0.314754939,-0.225747663
4.9,0.315217348,-0.225804212
4.91,0.315682742,-0.225868844
4.92,0.316146344,-0.225945528
4.93,0.316602164,-0.226039439
4.94,0.317045443,-0.226154511
4.95,0.317476324,-0.22628977
4.96,0.317902163,-0.226437043
4.97,0.318327549,-0.226590958
4.98,0.318758995,-0.226744243
4.99,0.319216058,-0.226876603
5,0.319708567,-0.22697751
5.01,0.32023403,-0.227048794
5.02,0.320784636,-0.227097621
5.03,0.32134187,-0.227141867
5.04,0.321905967,-0.227180648
5.05,0.322498024,-0.227192225
5.06,0.323119921,-0.227174242
5.07,0.323757726,-0.227141002
5.08,0.324396669,-0.227106866
5.09,0.325025302,-0.22708152
5.1,0.325663722,-0.2270439
5.11,0.326352595,-0.226952818
5.12,0.32709955,-0.226800106
5.13,0.327879544,-0.226610321
5.14,0.328667594,-0.226407824
5.15,0.329445939,-0.226209739
5.16,0.330200559,-0.226029468
5.17,0.330915409,-0.225882484
5.18,0.331581939,-0.225776774
5.19,0.332209785,-0.225702168
5.2,0.332809574,-0.225647536
5.21,0.333377074,-0.225616649
5.22,0.333903065,-0.225618287
5.23,0.334387845,-0.225651721
5.24,0.334835534,-0.225712415
5.25,0.335245568,-0.225800544
5.26,0.335623919,-0.225909765
5.27,0.335984408,-0.226025909
5.28,0.336336075,-0.226139619
5.29,0.336681814,-0.226247734
5.3,0.337019095,-0.226352543
5.31,0.337344521,-0.226457222
5.32,0.337650926,-0.22656872
5.33,0.337935962,-0.226689162
5.34,0.33821169,-0.226806247
5.35,0.338474907,-0.226922967
5.36,0.338707914,-0.22705679
5.37,0.338907431,-0.227210223
5.38,0.339080824,-0.227375588
5.39,0.339245016,-0.227536595
5.4,0.339422118,-0.227671394
5.41,0.33962479,-0.227767379
5.42,0.339850846,-0.227826877
5.43,0.34008341,-0.227866868
5.44,0.3403152,-0.227894743
5.45,0.340552803,-0.227904007
5.46,0.340792615,-0.22789842
5.47,0.341029503,-0.227883384
5.48,0.341264404,-0.227858454
5.49,0.34148168,-0.227839472
5.5,0.341661817,-0.227845642
5.51,0.34180527,-0.227876304
5.52,0.341918866,-0.227924582
5.53,0.342004733,-0.22798829
5.54,0.342066328,-0.228063545
5.55,0.342126572,-0.228127425
5.56,0.342217355,-0.228148877
5.57,0.342352972,-0.228114196
5.58,0.342540074,-0.228017246
5.59,0.342793053,-0.227844705
5.6,0.343125518,-0.227583502
5.61,0.343526025,-0.227244666
5.62,0.343962076,-0.226860615
5.63,0.344407314,-0.226457904
5.64,0.344848012,-0.22605044
5.65,0.345274328,-0.22564832
5.66,0.345675421,-0.225262648
5.67,0.346055775,-0.224889225
5.68,0.34642706,-0.224516678
5.69,0.34677997,-0.224154631
5.7,0.347099113,-0.223818801
5.71,0.347383344,-0.223510668
5.72,0.347637198,-0.223226041
5.73,0.347864437,-0.222961516
5.74,0.348074096,-0.222708421
5.75,0.348292611,-0.222440693
5.76,0.348548466,-0.222130229
5.77,0.348845758,-0.221773319
5.78,0.349177683,-0.221377157
5.79,0.349541522,-0.22094485
5.8,0.349939082,-0.220474985
5.81,0.350367128,-0.219971191
5.82,0.35081718,-0.219442344
5.83,0.351277855,-0.218900225
5.84,0.351725757,-0.218368625
5.85,0.352137989,-0.217870843
5.86,0.352506317,-0.217415509
5.87,0.352829033,-0.217004731
5.88,0.353117768,-0.216627273
5.89,0.353397638,-0.216258414
5.9,0.353672266,-0.215894918
5.91,0.353928528,-0.215550296
5.92,0.35416073,-0.215230624
5.93,0.354362119,-0.214943032
5.94,0.354521008,-0.214699581
5.95,0.354635375,-0.214502661
5.96,0.354713253,-0.214344602
5.97,0.35475811,-0.21422229
5.98,0.354777208,-0.214128814
5.99,0.354793807,-0.214041255
6,0.354833811,-0.213934042
6.01,0.354907805,-0.21379691
6.02,0.355010889,-0.213635069
6.03,0.355145643,-0.213446246
6.04,0.355320837,-0.213221968
6.05,0.355529432,-0.212969565
6.06,0.355760581,-0.212700165
6.07,0.355998804,-0.212429527
6.08,0.356225171,-0.212176845
6.09,0.356444914,-0.211937144
6.1,0.3566695,-0.211699205
6.11,0.356904423,-0.211457766
6.12,0.357163136,-0.211199605
6.13,0.357444442,-0.210926132
6.14,0.357723948,-0.210661953
6.15,0.357978552,-0.210430361
6.16,0.358213048,-0.210226747
6.17,0.358453596,-0.210025116
6.18,0.35870028,-0.209825548
6.19,0.358931572,-0.209649723
6.2,0.359156525,-0.209488722
6.21,0.35939551,-0.209322301
6.22,0.359642944,-0.209156162
6.23,0.359891907,-0.208997332
6.24,0.360134389,-0.208853918
6.25,0.360355875,-0.208740511
6.26,0.3605529,-0.20866064
6.27,0.360726011,-0.208613805
6.28,0.360888641,-0.208586603
6.29,0.361056492,-0.208563357
6.3,0.361211935,-0.208561716
6.31,0.361332793,-0.208603857
6.32,0.361413038,-0.208695771
6.33,0.36145051,-0.208839528
6.34,0.36145865,-0.20902153
6.35,0.361472786,-0.209206102
6.36,0.361527518,-0.209357976
6.37,0.361621032,-0.209478884
6.38,0.361729107,-0.209593657
6.39,0.361831358,-0.209722853
6.4,0.361909105,-0.209885069
6.41,0.361952129,-0.210090472
6.42,0.361956593,-0.210342845
6.43,0.361925251,-0.21063943
6.44,0.361869671,-0.210968695
6.45,0.361810979,-0.211309587
6.46,0.361774276,-0.211637089
6.47,0.361774281,-0.211936541
6.48,0.361815225,-0.212203591
6.49,0.361882962,-0.212451643
6.5,0.361962466,-0.212695094
6.51,0.362053364,-0.212934433
6.52,0.362147327,-0.213177962
6.53,0.362240835,-0.213428985
6.54,0.362344856,-0.21367638
6.55,0.362462689,-0.213916627
6.56,0.362598066,-0.214145731
6.57,0.362767166,-0.214347261
6.58,0.362981561,-0.214509367
6.59,0.363246038,-0.214626974
6.6,0.363563713,-0.21469673
6.61,0.36391964,-0.214733392
6.62,0.364276841,-0.214773782
6.63,0.36461243,-0.214840631
6.64,0.364942692,-0.214917452
6.65,0.36528512,-0.214986509
6.66,0.365623068,-0.215064207
6.67,0.365937285,-0.215169554
6.68,0.36624271,-0.215287327
6.69,0.366564491,-0.215392099
6.7,0.366902888,-0.215483366
6.71,0.367232322,-0.215586479
6.72,0.36752689,-0.215727067
6.73,0.367777357,-0.215914038
6.74,0.367974788,-0.216155992
6.75,0.368106178,-0.216465629
6.76,0.368165518,-0.216848694
6.77,0.368147325,-0.217310467
6.78,0.368055781,-0.217846647
6.79,0.367910333,-0.218437805
6.8,0.367740451,-0.219054927
6.81,0.367578286,-0.219666344
6.82,0.367440823,-0.220254573
6.83,0.36735348,-0.220793236
6.84,0.367353226,-0.221244775
6.85,0.367462541,-0.221586248
6.86,0.36768123,-0.221817353
6.87,0.367985485,-0.221961361
6.88,0.368346082,-0.222046777
6.89,0.368740578,-0.222094794
6.9,0.369150638,-0.222123288
6.91,0.369548877,-0.222160364
6.92,0.369920992,-0.222220538
6.93,0.370292452,-0.222278189
6.94,0.370691314,-0.222305134
6.95,0.371113118,-0.222305672
6.96,0.371552875,-0.222284679
6.97,0.372032315,-0.222220332
6.98,0.37256368,-0.222100385
6.99,0.373131841,-0.2219403
7,0.373704281,-0.221773157
7.01,0.37424209,-0.221637626
7.02,0.374734775,-0.221543308
7.03,0.375218793,-0.221453223
7.04,0.375731929,-0.221329335
