Time,Tower_FX,Tower_FY,Tower_MY,Tower_MZ
1,0,29891522.3,0,0
2,-13017.5236,29430574.7,4.104662472E-05,396768.83
2.01,-12218.4698,29330328.1,4.381660706E-05,393974.472
2.02,-12345.8049,29313876.3,4.586003091E-05,398162.876
2.03,-11482.8142,29277968.2,4.935355936E-05,392126.057
2.04,-15167.6634,29262036.8,4.712408613E-05,429214.733
2.05,-16136.1085,29240126.4,4.727682127E-05,447788.754
2.06,-18357.6638,29225392.3,4.547566959E-05,481297.971
2.07,-10551.7809,29209697.4,5.745741E-05,418680.694
2.08,-17206.1213,29197634.4,5.207782116E-05,480906.283
2.09,-23307.8141,29186217.5,4.510611E-05,552768.544
2.1,-33143.9883,29177181.1,3.007882447E-05,678393.341
2.11,-24324.1068,29169200.3,4.053474506E-05,639968.214
2.12,-25787.233,29162950.8,4.035928437E-05,680983.597
2.13,-30698.6154,29157710.3,3.584105746E-05,756430.697
2.14,-33480.1442,29153717.7,3.354799329E-05,822245.006
2.15,-31118.6977,29150501.2,3.99316841E-05,841287.005
2.16,-10477.1812,29148105.5,7.985455718E-05,667929.847
2.17,-4367.31414,29146181.9,1.057898764E-04,585397.174
2.18,-11926.1751,29144687.9,1.105161182E-04,621504.32
2.19,7262.45199,29143349.3,1.5688557E-04,409464.125
2.2,-130.189751,29142089.8,1.624527523E-04,416910.265
2.21,-17666.9124,29140689.3,1.433785782E-04,542863.885
2.22,5578.93781,29139066,1.8862766E-04,308057.633
2.23,1137.04816,29137045.9,1.915322193E-04,294029.913
2.24,14533.5605,29134556.2,2.256351255E-04,109542.919
2.25,4133.14687,29131464.3,2.159409222E-04,136007.611
2.26,-9809.78902,29127715.2,1.90216065E-04,225155.689
2.27,-9264.17693,29123214.9,1.831243887E-04,209848.341
2.28,8739.66671,29117930.3,2.120933594E-04,20311.0203
2.29,10463.4806,29111801.7,2.165466432E-04,-50479.9862
2.3,7156.59262,29104819.1,2.09385027E-04,-73597.0444
2.31,31243.0833,29096954.5,2.579421505E-04,-357887.067
2.32,33819.8288,29088220.2,2.693700805E-04,-482944.181
2.33,52960.0925,29078616.1,3.166296742E-04,-778573.27
2.34,39870.1665,29068174.7,2.926202925E-04,-790104.883
2.35,19596.3592,29056919.7,2.351108158E-04,-691063.357
2.36,-60502.1857,29044901.5,8.948161615E-06,70735.3472
2.37,-67667.9185,29032163.8,-9.033228676E-05,308327.466
2.38,-66278.7059,29018769.9,-1.652145995E-04,484983.378
2.39,-95879.9474,29004777.3,-3.027593752E-04,958426.892
2.4,-55275.2521,28990260.9,-2.589785426E-04,797519.111
2.41,-29502.0194,28975290.2,-2.092071602E-04,679270.033
2.42,-31034.7692,28959948.6,-2.003880336E-04,755535.696
2.43,-18489.0896,28944313.7,-1.4734949E-04,691269.676
2.44,4484.46425,28928472.7,-5.174043105E-05,487893.15
2.45,-9637.17819,28912507.1,-4.48987104E-05,592618.07
2.46,4557.81954,28896506.1,3.258651527E-05,444933.174
2.47,-54576.2129,28880551.4,-1.052967355E-04,999048.679
2.48,-87078.8048,28864729.3,-2.112816953E-04,1429354.18
2.49,-114868.749,28849120,-3.271763003E-04,1897573.82
2.5,-109780.147,28833805.4,-3.461019011E-04,2093910.56
2.51,-74577.0554,28818860.9,-2.430740923E-04,1964088.61
2.52,-26712.7588,28804363,-4.769710539E-05,1603007.38
2.53,-38306.2037,28790380.4,2.171878624E-06,1704844.13
2.54,-16593.3016,28776981.6,1.545238471E-04,1492939.59
2.55,-14048.6052,28764227.7,2.534962442E-04,1418461.52
2.56,-27911.1373,28752178.1,2.915094567E-04,1493208.89
2.57,-36404.5598,28740886,3.256133628E-04,1548233.29
2.58,-87969.9137,28730400.9,1.890598388E-04,2055476.1
2.59,-112790.241,28720766.3,9.861654023E-05,2420065.38
2.6,-122954.543,28712022.6,4.349895039E-05,2698650.41
2.61,-126783.377,28704202.7,1.824680922E-05,2927260.46
2.62,-115956.639,28697336.8,6.261629943E-05,3006964
2.63,-151784.077,28691448,-4.391604182E-05,3515867.25
2.64,-71865.8715,28686558.4,2.772256996E-04,2939826.56
2.65,-54535.8693,28682683.2,4.459955813E-04,2782396.36
2.66,34236.7092,28679835.2,9.218164774E-04,1841461.26
2.67,-9908.00344,28678019.7,9.421082485E-04,2013033.39
2.68,-13821.0587,28677237.9,1.05475873E-03,1883398.53
2.69,7794.48635,28677488.4,1.233739116E-03,1523461.41
2.7,-83596.4104,28678760.5,9.520022976E-04,2239790.62
2.71,-38672.5919,28681046.8,1.119073313E-03,1820284.88
2.72,914.299808,28684335,1.298549066E-03,1354589.06
2.73,-22847.3854,28688604.8,1.253047591E-03,1411870.83
2.74,-78226.9995,28693837.8,1.031550392E-03,1854763.52
2.75,-92266.5915,28700013.6,9.115925946E-04,2034193.57
2.76,-182794.438,28707107.2,4.50266483E-04,3021729.9
2.77,-136715.098,28715094,4.946870954E-04,2861143.9
2.78,-79932.7063,28723946.5,6.580740274E-04,2479610.22
2.79,12232.3108,28733633.9,1.06423526E-03,1577926.6
2.8,-78727.1868,28744123.7,7.7611422E-04,2279930.34
2.81,-34141.5753,28755386.4,9.670820357E-04,1848741.39
2.82,-50935.7887,28767391.4,9.195161E-04,1940931.68
2.83,-88681.5491,28780103.7,7.624658811E-04,2270357.98
2.84,-129248.73,28793492.2,5.446735739E-04,2733130.68
2.85,-132227.035,28807523.5,4.522854225E-04,2921116.24
2.86,-117929.54,28822164.1,4.465959546E-04,2938999.94
2.87,-203646.214,28837377.1,4.102463321E-05,3915149.77
2.88,-224999.234,28853130.2,-1.550755771E-04,4453174.09
2.89,-162382.194,28869391.6,1.292678358E-05,4200510.26
2.9,-177608.062,28886125.9,-5.392473076E-05,4547436.27
2.91,-122765.493,28903302.3,1.864853805E-04,4206840.69
2.92,-45334.9854,28920891.4,5.823104258E-04,3495646.09
2.93,-46388.1168,28938858.9,7.224108561E-04,3356754.54
2.94,-75043.0268,28957173.2,7.261992908E-04,3490168.94
2.95,-69160.2236,28975806.6,8.168049521E-04,3354317.41
2.96,-221218.075,28994726,2.505319824E-04,4788124.43
2.97,-143106.899,29013910.3,4.673606856E-04,4287965.47
2.98,-91706.1561,29033333.8,6.482558683E-04,3866808.64
2.99,-102520.96,29052963,6.433031613E-04,3906400.88
3,-84087.6236,29072776,7.314310855E-04,3681520.86
3.01,-58576.7349,29092747.4,8.463113737E-04,3341930.58
3.02,-51014.18,29112852.5,9.003942806E-04,3112967.09
3.03,-211.597509,29133070.1,1.098449689E-03,2432239.28
3.04,-81125.2389,29153374.6,8.416283143E-04,2951908.96
3.05,-85095.8272,29173747.9,7.75735733E-04,2906189.85
3.06,-136088.952,29194172.5,5.31724166E-04,3362912.29
3.07,-73693.2687,29214630.7,6.291755911E-04,2804657.47
3.08,-96711.7657,29235103.2,4.904947841E-04,2955089.54
3.09,-122487.835,29255570.5,3.319217287E-04,3182875.47
3.1,-170938.67,29276019.6,8.907042966E-05,3717440.06
3.11,-52645.7386,29296439.4,3.066047384E-04,2700549.96
3.12,-75831.4546,29316812.1,1.917987248E-04,2806756.51
3.13,-58324.1776,29337123.6,1.73965276E-04,2548238.4
3.14,-50948.7085,29357366.1,1.276063346E-04,2368514.6
3.15,92038.7235,29377530.2,3.978715225E-04,807548.392
3.16,474.753618,29397599.8,1.756667074E-04,1250018.5
3.17,30943.1947,29417567.7,1.719154549E-04,699451.598
3.18,-9484.32005,29437429.4,2.605772819E-05,825485.258
3.19,79810.152,29457176.7,1.001061736E-04,-248539.136
3.2,28042.7166,29476799.9,-4.225124343E-05,-105794.213
3.21,-8564.82208,29496290.4,-1.621435988E-04,21307.1142
3.22,43423.9817,29515646.9,-1.65590492E-04,-612279.78
3.23,11313.8882,29534858.1,-2.502662873E-04,-518526.397
3.24,-10393.7512,29553918,-3.097147475E-04,-437947.163
3.25,-42654.754,29572821.5,-3.558330363E-04,-168653.907
3.26,76166.7862,29591563.2,-3.17224127E-04,-1321776.59
3.27,47850.7387,29610133.8,-3.355558597E-04,-1283004.07
3.28,72715.9105,29628528.1,-3.331477402E-04,-1705400.73
3.29,113243.917,29646742.9,-3.277322389E-04,-2312623.03
3.3,238003.816,29664772.2,-3.735877369E-04,-3856717.7
3.31,251414.911,29682609.7,-3.908638243E-04,-4576028.24
3.32,354707.848,29700250.5,-4.783991979E-04,-6209640.55
