time,fy_node_1,fy_node_23,fy_node_43,fy_node_61,fy_node_132,fy_node_114,fy_node_94,fy_node_72
0,-247923.645911,-57529.8653826,-395646.780252,-239029.798321,465582.465982,-32021.7921674,-237033.919584,-504654.616566
1,-464686.858625,-60107.7896892,-207208.820849,-263334.41665,278754.412564,22341.0943449,-317490.17049,-527275.192013
2,-283215.413912,-171740.175735,21975.8859648,-159822.162951,58504.3559338,-65577.7734345,-310565.398961,-389710.252378
3,-370480.495482,-92448.4382152,65867.5193031,-39180.4575672,-115633.52224,-103348.488638,-213739.29939,-246024.157686
4,-415369.81406,-161547.877538,185573.301199,-156049.180687,-47818.5732326,-187105.570896,-145740.817361,-532949.498267
5,-314835.404362,-343260.392356,178141.826202,-355742.211787,208246.368221,-113134.42703,-202749.190159,-602222.356715
6,-454250.689199,-117308.355833,229855.578851,-358969.31905,109518.163758,-219108.702226,-132372.573231,-680888.804758
7,-305620.082437,-149739.222068,-5868.00869837,-252679.934038,77763.440121,-112318.553094,-65744.3489974,-440747.652891
8,-167730.070246,-117287.233145,3381.08728328,-79091.2622727,-10626.5884254,-266355.792263,-119300.305868,-536130.130895
9,-244318.408179,-296746.031396,99845.6708545,-101065.198902,-113280.275385,-302556.548838,-214942.970855,-510822.520106
10,-286095.454575,-223262.197855,-12493.9450238,28938.3591871,-64460.3774429,-284191.960014,-344535.143914,-354426.958767
11,-471935.398878,-63661.6362765,-349905.308538,10541.8819831,-190927.480699,-238645.020246,-291021.46488,-314023.379475
12,-333026.207241,-160283.582646,-319206.718898,9644.67312636,-122771.103829,-109690.866406,-151082.106684,-120262.058797
13,2778.40287754,-290959.080559,-6546.93878337,26630.0729677,-134812.369934,-185194.557044,-98330.3385622,-191969.729927
14,-22065.7438489,-172700.367903,-106897.078553,24506.891644,-357046.400363,-213346.261386,-129149.992181,-278222.602641
15,76016.4724406,-14586.4672971,-146976.973739,-99959.9787178,-155670.510557,-197082.454821,-60225.87166,-217974.142106
16,43904.2035565,-10919.3669414,-87589.2424967,1222.50967524,-185895.396631,-177492.225793,37161.9012631,-113900.413578
17,40811.5823783,100336.912476,-69090.6008775,24153.3095123,-182758.020892,-145510.310511,-63520.1613072,-177538.485866
18,-131384.27644,233998.422588,-103033.784208,80220.0239311,-212744.522905,171681.182255,-27594.8850222,-169581.928734
19,-122000.071569,122315.49488,-225320.250493,145668.18769,-96975.215937,252260.405764,-21221.9085107,-119009.79664
20,-76117.3898464,76470.0700657,138349.027153,318714.993086,23835.2442198,332534.022985,-385614.174302,-131977.429184
21,-149497.460417,4179.78593349,202376.518106,328965.054784,-159368.56719,142611.122642,-491015.331026,275453.532028
22,-133505.432754,183556.356911,216748.511246,314127.116273,-93273.9573303,71724.7368304,-438651.107935,347209.443569
23,-214388.028677,239088.025675,-63450.9683937,249009.763232,-133402.489994,-80230.7073835,-424497.493966,597446.298831
24,-440066.17008,52870.0378389,-18537.4717916,300732.233946,-48668.5925557,-105098.48722,-401552.405151,382906.687664
25,-501887.530122,34249.4658626,264732.377982,54257.7518967,7113.7544083,62428.5941766,-228209.862601,190141.30804
26,-366551.2786,61007.7467975,29099.2212828,117791.847505,-20432.4058465,228264.944232,-187093.401687,-140510.77231
27,-291414.991074,-273138.494651,224861.991743,169103.853886,-258829.915078,240860.934831,-301669.841053,-206737.288494
28,-289172.908321,-92341.4211932,143009.929688,234154.793449,-168618.467197,31429.5490794,-372868.064315,-79382.3053364
29,-100383.289893,-16961.2774392,109242.611325,191290.988041,-262619.925019,66052.0975962,-396546.043473,-66119.3757286
30,13948.1354088,-79038.8217801,97797.9974034,258690.793998,-358412.177335,-93488.7188016,-426496.477884,24466.2946397
31,-74589.3184928,126816.65842,-159900.521195,69685.6825514,-276994.459702,-213995.216178,-295513.89678,92192.2532378
32,56990.2365324,-56040.6117188,58582.6733569,-9059.03632202,-122428.647287,-125859.511156,-458736.230398,-115065.594589
33,84866.4744859,20640.5356807,35398.6484274,205976.856278,-215565.603331,-181223.597854,-464882.874698,96902.1101207
34,55308.4331828,-70367.8369628,-143116.889724,110004.999561,-158442.712489,-129845.363954,-149172.50648,-58932.8534576
35,123936.647696,-144780.970806,-439467.797843,95530.4351102,-68141.3131326,-34783.8993148,-160956.469713,-113827.996646
36,2047.86074662,-195089.30814,-344678.991665,125267.591721,-172150.28876,-83159.1172127,-309185.137582,-495.284528294
37,85709.5707354,-218330.384339,-595893.577554,361203.685801,-80247.5014835,-28137.237384,-455570.60881,-28474.4528278
38,141385.137522,75652.6428714,-460471.837488,280459.360771,-113142.763786,75045.1094258,-462490.865996,75681.850056
39,183196.27724,147017.776835,-255059.422886,147643.526108,83757.8747093,303801.494897,-278529.543721,81081.2544624
40,117767.203074,229029.271414,-137890.369675,70233.4087397,109709.875903,261355.664185,-217080.029825,91469.997899
41,269195.16511,98328.1164635,-189910.697378,141061.765084,-23651.1723943,281300.66671,-285339.216947,200200.973918
42,182850.440766,18049.5092792,-228995.143832,158713.876072,20097.3740295,339166.891357,-288285.567713,182791.786613
43,180169.518609,-46133.3667203,-174841.857923,213047.838493,-935.354098745,257384.133539,-237132.135209,66991.7912176
44,-1134.10016403,-116669.800682,-255077.805013,407805.99422,-61502.3247852,-125363.511144,-196925.910867,369054.035432
45,-83383.4720016,-76635.7530558,-345543.231,357776.229455,-169621.920823,-304925.341637,-165445.509764,458738.445964
46,-103261.659517,-33334.8133241,-216233.216265,122782.882949,27674.7967323,-50156.5381923,-18600.0349648,428047.46507
47,-3033.45989191,103813.841638,-272403.209732,-633.807505711,58203.7001078,-66753.6650898,61437.5664107,312814.607165
48,201628.933138,185593.217327,-384073.187164,-39465.3230384,-20302.4382903,-251839.031565,35901.3771683,353067.206847
49,204417.340519,90838.6577329,-329378.078281,14515.0397535,-122814.033497,-136934.113529,-39744.8704398,244541.300246
50,173813.313399,-27347.075749,-239984.175802,50202.7612388,-33762.6293414,-166582.257106,78980.0065333,286178.111875
51,243227.276813,-202892.994227,-391448.243607,-59064.1647634,-145134.355291,-358065.290845,220075.9622,372572.868415
52,287679.773543,-267720.038642,-491878.420399,-163247.981596,-224335.590526,-422688.388084,373602.391542,277751.606356
53,3030.28058735,-280944.635698,-446238.456333,-300589.097649,-207175.122783,-395562.848707,510130.025899,124907.438198
54,68923.7831126,-350958.733468,-550743.745305,-336362.170852,-380431.974613,-297069.33395,388692.2812,47267.009437
55,-247890.747596,-123511.888864,-507031.869458,-123093.60918,-583942.603604,-166233.996495,284169.955105,-172445.845794
56,-199494.004573,-162742.271823,-317176.480232,-120088.215613,-691805.724058,-108205.286879,124958.4679,-427412.785774
57,-88347.6717093,99579.5125042,-344155.841208,-65619.4047346,-509164.840888,-78714.8231969,151220.201205,-523688.867568
58,-239029.894137,-82543.6023026,-525317.276373,-32178.8732548,-326469.866746,-32205.6017167,-631.890944978,-458401.829506
59,-132007.174507,169381.333993,-659509.990081,-112215.968638,-239431.635145,95455.2006421,11621.6606631,-292012.984491
60,48717.7255186,375238.700365,-724430.526089,-206786.80074,85869.382904,101074.765131,134622.141632,-328491.895821
61,165934.476012,99404.130708,-618348.062706,-203963.372017,124826.678997,-14058.2683463,240257.605107,-283766.589541
62,274124.336741,17698.6867151,-465740.567407,-236723.053568,107011.27725,-140554.984432,263657.914488,-107827.657661
63,325803.939867,-226749.590071,-389477.916764,-450193.251558,156182.055694,89856.548119,188845.820023,21535.2877444
64,302182.320519,-113665.999834,-374006.376581,-548790.622174,67791.8502275,23755.7996384,177026.209543,-38381.0323696
65,214542.848337,24259.7088672,-425556.445846,-532588.174928,9157.82719876,139284.729697,-13283.8381109,-33021.3167793
66,143015.343185,-24616.2812137,-434454.824499,-444370.777962,46233.3833549,191208.566609,-32573.8324063,-95524.5982849
67,377215.930775,-259751.248601,-242195.113966,-435589.76236,222898.299922,118116.38567,39078.55943,-352666.656044
68,284983.530366,-64426.7898403,-242052.554644,-236722.890799,295895.414475,102602.366728,138647.611461,-442288.304608
69,60867.3964969,204300.910288,-2353.20263105,-329144.36283,260026.355725,239963.837797,285945.965055,-300971.180295
70,-120168.322621,90995.9343232,-26487.3705047,-454398.1245,144225.626452,144212.540492,148962.655894,-506735.233369
71,42216.1181603,120061.4128,-22567.6254584,-346547.57447,131793.8476,166788.165826,186221.909286,-546630.975375
72,39597.2782532,399405.756666,9556.76468918,-466882.982603,73610.15954,342055.741415,130098.877592,-241077.755711
73,19793.1240124,212269.258134,78647.3882611,-564002.465098,241063.716705,257510.085463,160820.477091,-88477.9130628
74,51404.0158016,296491.100639,-59103.6952827,-666614.196208,76695.3578319,26991.7858848,89621.3962086,-8631.19861679
75,132575.769185,303923.091035,1591.92146895,-563963.195973,61302.786349,-88166.6680358,68302.8687523,106449.548646
76,258126.924518,216780.094004,126767.020611,-414956.510029,-187493.460122,-185851.004236,-112806.415699,124092.49973
77,329947.278018,440257.071795,91834.8520298,-508297.04574,-25322.062671,-257285.935944,-232316.995279,192055.458578
78,14144.8905553,673203.47,-36441.9074869,-402997.918671,-99453.4338432,-179946.330166,-196340.686853,112017.696215
79,68662.0574535,261309.41768,144411.414432,-301231.980089,-80725.6948926,-183279.458383,-101521.118051,283177.931428
80,193981.145395,383515.265091,29054.8885265,-65162.92991,-107584.711603,-143663.540058,59967.3619655,300078.472233
81,146847.143694,314280.077721,314578.652973,34359.7545586,-172139.523845,-384060.409553,59382.0090494,254144.575733
82,36950.896582,162815.712365,275821.893063,-6323.37419386,-201326.147009,-206586.204564,3879.9789927,89921.347786
83,-111842.362188,341392.855361,188525.072027,-117252.745299,-25600.592342,-363875.412544,194687.220667,108229.861889
84,57115.5003922,184009.174244,105300.390203,-252670.237832,-142188.406696,-365256.93099,196080.287121,-147446.225042
85,148232.629045,220884.039516,271740.2834,-261953.256584,-269075.931442,-598337.614743,116648.969964,-300739.866144
86,161793.707192,453017.760892,152559.59251,-374006.957131,-150192.78091,-409915.990165,139322.046626,-373205.266364
87,205891.346084,483618.685931,41911.6281902,-295227.205404,11501.0801045,-145478.564869,181733.017877,-217350.251258
88,182151.441556,222652.245509,172449.743319,-31905.6021435,141054.197055,-98453.8048708,146654.24478,-208553.368913
89,176177.221741,249242.099333,185135.836333,-57790.2498547,287329.74264,12995.1099835,170389.059328,-302746.845998
90,204438.354739,202483.86289,36643.5439092,-33708.3495687,559431.997104,-189134.796926,220539.200212,-259090.702321
91,433725.395187,-24198.2715906,-55338.7945099,5846.76868371,217634.650127,-308902.831003,358846.108412,-299659.849474
92,326539.890154,14242.1040383,-324727.319788,189989.459861,104111.664559,-181528.698573,363183.251887,-218960.525548
93,16111.613819,-84599.3433549,-311951.328834,80650.3018651,64590.867211,-135243.027547,375419.243786,-199901.085179
