time,section_raw_DOF1,section_baseline_DOF1,section_relative_DOF1,inertia_raw_DOF1,inertia_baseline_DOF1,inertia_relative_DOF1,dynamic_DOF1,section_raw_DOF2,section_baseline_DOF2,section_relative_DOF2,inertia_raw_DOF2,inertia_baseline_DOF2,inertia_relative_DOF2,dynamic_DOF2,tower_base_shear
0.0,32443.81251679687,32443.81251679687,0.0,-159869.7557506284,-159869.7557506284,0.0,0.0,-2335510376.821715,-2335510376.821715,0.0,0.0,0.0,0.0,0.0,0.0
0.01,31548.751613093074,32443.81251679687,-895.0609037037939,-107288.09006767465,-159869.7557506284,52581.66568295374,-53476.72658665753,-2335510376.8217154,-2335510376.821715,-4.76837158203125e-07,2.3525705037377102e-07,0.0,2.3525705037377102e-07,-7.12094208576896e-07,-53476.72658665753
0.02,42561.41481522843,32443.81251679687,10117.602298431564,-126719.15443171181,-159869.7557506284,33150.60131891658,-23032.99902048502,-2335510376.8217144,-2335510376.821715,4.76837158203125e-07,8.939127079179987e-09,0.0,8.939127079179987e-09,4.67898031123945e-07,-23032.99902048502
0.03,49266.87657683017,32443.81251679687,16823.0640600333,-100072.98841926476,-159869.7557506284,59796.76733136363,-42973.703271330334,-2335510376.821713,-2335510376.821715,1.9073486328125e-06,-2.4439717520585713e-08,0.0,-2.4439717520585713e-08,1.9317883503330857e-06,-42973.703271330334
0.04,85841.02001095656,32443.81251679687,53397.207494159695,-188374.95814606114,-159869.7557506284,-28505.202395432745,81902.40988959244,-2335510376.8217115,-2335510376.821715,3.337860107421875e-06,7.303666165608957e-08,0.0,7.303666165608957e-08,3.2648234457657854e-06,81902.40988959244
0.05,112351.41604178306,32443.81251679687,79907.60352498619,-224007.4558505646,-159869.7557506284,-64137.70009993622,144045.3036249224,-2335510376.821711,-2335510376.821715,3.814697265625e-06,-1.721051609525348e-07,0.0,-1.721051609525348e-07,3.986802426577535e-06,144045.3036249224
0.060000000000000005,149004.4645792246,32443.81251679687,116560.65206242772,-268878.82298358384,-159869.7557506284,-109009.06723295545,225569.71929538317,-2335510376.82171,-2335510376.821715,4.76837158203125e-06,5.544099726528806e-08,0.0,5.544099726528806e-08,4.712930584765962e-06,225569.71929538317
0.07,121471.96870511025,32443.81251679687,89028.15618831338,-86553.16230946683,-159869.7557506284,73316.59344116156,15711.562747151824,-2335510376.8217096,-2335510376.821715,5.245208740234375e-06,-6.961888769640989e-08,0.0,-6.961888769640989e-08,5.314827627930785e-06,15711.562747151824
0.08,176280.86766857794,32443.81251679687,143837.05515178107,-200772.27002753623,-159869.7557506284,-40902.51427690784,184739.5694286889,-2335510376.821709,-2335510376.821715,5.7220458984375e-06,-2.5249489582490625e-09,0.0,-2.5249489582490625e-09,5.724570847395749e-06,184739.5694286889
0.09,243226.66372689465,32443.81251679687,210782.85121009778,-391668.95113068406,-159869.7557506284,-231799.19538005567,442582.0465901535,-2335510376.8217087,-2335510376.821715,6.198883056640625e-06,4.7539017004188944e-08,0.0,4.7539017004188944e-08,6.151344039636436e-06,442582.0465901535
0.09999999999999999,346529.72191006364,32443.81251679687,314085.9093932668,-614618.6232683006,-159869.7557506284,-454748.86751767213,768834.7769109389,-2335510376.8217087,-2335510376.821715,6.198883056640625e-06,-4.754156193720327e-09,0.0,-4.754156193720327e-09,6.203637212834345e-06,768834.7769109389
0.10999999999999999,341957.9339593919,32443.81251679687,309514.12144259503,-425883.83537493215,-159869.7557506284,-266014.07962430373,575528.2010668988,-2335510376.8217087,-2335510376.821715,6.198883056640625e-06,2.417361360390613e-08,0.0,2.417361360390613e-08,6.174709443036719e-06,575528.2010668988
0.11999999999999998,387493.0840143617,32443.81251679687,355049.27149756486,-372226.4957574778,-159869.7557506284,-212356.74000684943,567406.0115044143,-2335510376.821708,-2335510376.821715,6.67572021484375e-06,-1.8067802819848877e-07,0.0,-1.8067802819848877e-07,6.856398243042239e-06,567406.0115044143
0.12999999999999998,461537.6752166259,32443.81251679687,429093.86269982904,-509625.74707891385,-159869.7557506284,-349755.9913282854,778849.8540281145,-2335510376.821709,-2335510376.821715,5.7220458984375e-06,-2.564588437656279e-07,0.0,-2.564588437656279e-07,5.978504742203128e-06,778849.8540281145
