time,Pair1_36_517_DOF1_rel_disp,Pair1_36_517_DOF1_rel_vel,Pair1_36_517_DOF1_damper_force,Pair2_36_518_DOF1_rel_disp,Pair2_36_518_DOF1_rel_vel,Pair2_36_518_DOF1_damper_force,Pair3_107_520_DOF1_rel_disp,Pair3_107_520_DOF1_rel_vel,Pair3_107_520_DOF1_damper_force,Pair4_107_521_DOF1_rel_disp,Pair4_107_521_DOF1_rel_vel,Pair4_107_521_DOF1_damper_force
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-2.2953916545276343e-10,-4.590783393646755e-08,-2.201407259345735,-1.2839040941514668e-10,-2.5678079315868984e-08,-1.2313347279734272,-2.295391376971878e-10,-4.5907829605523715e-08,-2.2014070516650324,-1.2839038165957106e-10,-2.5678075181992448e-08,-1.2313345297426455
0.02,-1.5870516067995055e-08,-3.08228755018872e-06,-147.804189536949,-1.4496166184096992e-08,-2.847877081285321e-06,-136.56356100664794,-1.5870515929217177e-08,-3.082287538696109e-06,-147.80418898584662,-1.449616607307469e-08,-2.8478770699929352e-06,-136.5635604651469
0.03,-9.449093790747654e-08,-1.2641796824871943e-05,-606.2090261100296,-8.945780016755833e-08,-1.214444972161994e-05,-582.3598607360168,-9.449093762992078e-08,-1.2641796807260855e-05,-606.2090252655292,-8.945779991775815e-08,-1.214444970402685e-05,-582.3598598923795
0.04,-2.8937735077616544e-07,-2.6335485757259663e-05,-1262.8591800837341,-2.7903767049752837e-07,-2.577152435040894e-05,-1235.8156751178897,-2.8937735030432066e-07,-2.633548573248017e-05,-1262.8591788954889,-2.7903767005343916e-07,-2.5771524325592988e-05,-1235.8156739278963
0.05,-6.39509396715976e-07,-4.369092343605634e-05,-2095.1002862117166,-6.225845755325476e-07,-4.29378566662805e-05,-2058.98865750689,-6.395093959665754e-07,-4.36909234051733e-05,-2095.10028473079,-6.225845748109027e-07,-4.2937856635285546e-05,-2058.988656020596
0.060000000000000005,-1.1994244013546762e-06,-6.829207748708594e-05,-3274.7934773818356,-1.173696401929325e-06,-6.72845086067132e-05,-3226.47777051113,-1.1994244002444532e-06,-6.82920774498784e-05,-3274.7934755976316,-1.1736964008468576e-06,-6.728450856931175e-05,-3226.4777687176274
0.07,-2.041970255578507e-06,-0.00010021709336014383,-4803.602191946212,-2.0055135514507327e-06,-9.907892129943209e-05,-4751.10755385593,-2.04197025405195e-06,-0.00010021709331178765,-4803.602190091967,-2.005513549924176e-06,-9.907892125089166e-05,-4751.107551528282
0.08,-3.214254603312039e-06,-0.00013423977619090053,-6069.019987910746,-3.167646295598736e-06,-0.00013334762753814896,-6036.731042383122,-3.2142546011748596e-06,-0.00013423977612701945,-6069.01998560028,-3.1676462934893124e-06,-0.00013334762747419578,-6036.731040066961
0.09,-4.719112991824481e-06,-0.00016673190150486657,-7218.194076184258,-4.664476924376437e-06,-0.00016601849821112923,-7193.475636606253,-4.719112988910146e-06,-0.00016673190141845815,-7218.194073191608,-4.664476921489857e-06,-0.00016601849812482967,-7193.4756336148075
0.09999999999999999,-6.595395788733249e-06,-0.00020852465787118166,-8632.558421115835,-6.531271165649555e-06,-0.0002073403500338734,-8593.31346509265,-6.595395784736446e-06,-0.00020852465774534275,-8632.558416948226,-6.5312711616805075e-06,-0.00020734034990852368,-8593.31346093651
0.10999999999999999,-8.997866621063277e-06,-0.00027196950859314584,-10676.521169796944,-8.918772618382587e-06,-0.00027015994051278285,-10619.653674671288,-8.997866615512162e-06,-0.00027196950840569834,-10676.521163910145,-8.918772612859227e-06,-0.00027015994032633813,-10619.653668808156
0.11999999999999998,-1.211957052166257e-05,-0.0003523712715252958,-13134.513376702576,-1.2021911835802257e-05,-0.000350467902971012,-13077.724745110247,-1.2119570513835498e-05,-0.0003523712712520861,-13134.513368555541,-1.202191182800294e-05,-0.0003504679026991929,-13077.724736995893
0.12999999999999998,-1.605989817315967e-05,-0.000435694258772008,-15565.356144068852,-1.59452083335343e-05,-0.0004341913965710551,-15522.389012877366,-1.605989816200193e-05,-0.00043569425838189393,-15565.356132919267,-1.594520832243207e-05,-0.0004341913961829699,-15522.389001778094
0.13999999999999999,-2.0853941164161727e-05,-0.0005231143394214099,-18017.349050008917,-2.0724086001094877e-05,-0.0005215841369332843,-17975.17354153486,-2.0853941148313293e-05,-0.0005231143388703786,-18017.349034825816,-2.072408598532971e-05,-0.0005215841363853072,-17975.173526427057
0.15,-2.658431299695785e-05,-0.0006229600271441306,-20719.617644624486,-2.643892960801919e-05,-0.0006213845844540509,-20677.687720027636,-2.6584312974531343e-05,-0.0006229600263758044,-20719.617624180893,-2.6438929585675952e-05,-0.0006213845836898612,-20677.687699683804
0.16,-3.335352992298035e-05,-0.0007308833580606196,-23544.639809098913,-3.319428146730807e-05,-0.0007296857874028112,-23513.771963991232,-3.3353529891588796e-05,-0.0007308833570299833,-23544.63978253822,-3.3194281436055295e-05,-0.0007296857863767515,-23513.771937539812
0.17,-4.114071333297109e-05,-0.0008265533239286594,-25979.470403422325,-4.0976655651503435e-05,-0.0008267890494324535,-25985.3975216761,-4.114071328992219e-05,-0.000826553322633973,-25979.4703708676,-4.0976655608648827e-05,-0.0008267890481417067,-25985.39748922229
0.18000000000000002,-4.97067232734516e-05,-0.0008866486641709342,-27479.880737519736,-4.955445550863802e-05,-0.0008887709219943798,-27532.488223137865,-4.970672321627512e-05,-0.0008866486626315967,-27479.88069935282,-4.955445545168358e-05,-0.0008887709204594284,-27532.48818509788
0.19000000000000003,-5.874235481403978e-05,-0.0009204776439440593,-28315.496965191993,-5.861552937286296e-05,-0.0009234438508498639,-28388.47002882334,-5.8742354740348723e-05,-0.0009204776421786464,-28315.496921746253,-5.8615529299449465e-05,-0.000923443849089323,-28388.469985525364
0.20000000000000004,-6.802362356808644e-05,-0.0009357761068721274,-28691.36127390918,-6.793247541328484e-05,-0.0009399453572369717,-28793.580825158653,-6.802362347591018e-05,-0.0009357761049341438,-28691.36122637355,-6.793247532141389e-05,-0.0009399453553036223,-28793.580777778836
0.21000000000000005,-7.732122521769691e-05,-0.0009237442230519327,-28395.857011730506,-7.727689385436665e-05,-0.0009289383309784821,-28523.518670167225,-7.732122510545336e-05,-0.0009237442209683543,-28395.85696049122,-7.727689374251168e-05,-0.0009289383289026678,-28523.51861917609
0.22000000000000006,-8.649384846998176e-05,-0.0009107804274004239,-28076.601861395353,-8.649822448492106e-05,-0.0009153277951362607,-28188.691239551394,-8.649384833606111e-05,-0.0009107804251506564,-28076.60180591254,-8.649822435150001e-05,-0.0009153277928969697,-28188.691184381925
0.23000000000000007,-9.557653407277211e-05,-0.0009057566931435374,-27952.640164073324,-9.562760588155417e-05,-0.0009105484841759998,-28070.881630060143,-9.557653391573107e-05,-0.0009057566907746719,-27952.6401055887,-9.562760572509599e-05,-0.0009105484818171006,-28070.881571883005
0.24000000000000007,-0.00010451653800055971,-0.0008822440924120459,-27370.617748931625,-0.00010461981870268922,-0.0008878940800457918,-27510.755717964763,-0.00010451653781978765,-0.0008822440900356867,-27370.617689952556,-0.00010461981852261104,-0.0008878940776798471,-27510.75565931909
0.25000000000000006,-0.00011312092995571787,-0.0008386342986162244,-26282.803523556067,-0.00011328235135918407,-0.0008446124512533119,-26432.58125212476,-0.00011312092975160337,-0.000838634296329793,-26282.803466230645,-0.00011328235115590224,-0.0008446124489783865,-26432.581195168794
0.26000000000000006,-0.00012122375711642874,-0.0007819311335150839,-24851.259058320564,-0.00012144561371743579,-0.0007880400203893888,-25006.45972757646,-0.00012122375688994325,-0.0007819311313356173,-24851.25900290649,-0.00012144561349192173,-0.0007880400182264955,-25006.459672669294
0.2700000000000001,-0.0001288064209568618,-0.0007346016345674549,-23640.415456825525,-0.00012908274744521941,-0.0007393867251638122,-23763.527663417266,-0.00012880642070867143,-0.0007346016324020297,-23640.415401076618,-0.0001290827471981948,-0.0007393867230210377,-23763.52760832309
0.2800000000000001,-0.00013605017149109777,-0.0007141484722837069,-23112.36574605842,-0.00013636895076094002,-0.000717853937980103,-23208.253631620708,-0.0001360501712211193,-0.0007141484700911117,-23112.365689290327,-0.00013636895049232156,-0.0007178539358106591,-23208.253575510123
0.2900000000000001,-0.0001431041049612114,-0.0006966382217258231,-22657.888291136413,-0.00014346083400745835,-0.0007005227113076977,-22758.90527259716,-0.00014310410466966683,-0.0006966382196090342,-22657.88823605822,-0.00014346083371749585,-0.000700522709212117,-22758.905218131407
0.3000000000000001,-0.00014988811889543596,-0.0006601645651130992,-21703.779066620697,-0.0001502857472162611,-0.0006644599304466911,-21816.678383061244,-0.00014988811858362983,-0.0006601645631853883,-21703.779015919874,-0.00015028574690625907,-0.0006644599285405588,-21816.67833299294
0.3100000000000001,-0.00015624922115739515,-0.0006120558872774061,-20428.969312324167,-0.0001566889889199341,-0.0006161884102871666,-20539.242036662607,-0.00015624922082779769,-0.0006120558856406663,-20428.969268619778,-0.0001566889885923628,-0.0006161884086708213,-20539.24199356084
0.3200000000000001,-0.0001620527485814427,-0.0005486495975308294,-18717.57768301546,-0.00016253715749978137,-0.0005534453056785682,-18848.35091401688,-0.0001620527482379952,-0.0005486495963931456,-18717.577651965134,-0.0001625371571584988,-0.0005534453045568203,-18848.350883454725
0.3300000000000001,-0.00016703942627588342,-0.0004486859413566954,-15935.568514711596,-0.00016757759439137154,-0.00045464207263804716,-16104.575828665449,-0.00016703942592485865,-0.000448685940989659,-15935.56850428304,-0.00016757759404267825,-0.0004546420722840637,-16104.575818634255
0.34000000000000014,-0.00017083044508925394,-0.00030951782131386787,-11840.284016662992,-0.00017143218170928565,-0.0003162753909403261,-12046.639476271908,-0.0001708304447393949,-0.0003095178219212674,-11840.284035251347,-0.0001714321813618691,-0.0003162753915603013,-12046.639495163337
0.35000000000000014,-0.00017308993270237494,-0.00014237970131462377,-6361.683435210635,-0.00017375985626727486,-0.0001492595206675374,-6606.435912472718,-0.00017308993236331283,-0.0001423797028711237,-6361.683490847554,-0.00017375985593084953,-0.0001492595222443501,-6606.435968306272
0.36000000000000015,-0.00017375147124537582,1.007199271692565e-05,482.97983115043917,-0.00017447840328674302,5.550116775290934e-06,266.143407599033,-0.00017375147092391074,1.0071990742748535e-05,482.97973648320135,-0.0001744784029682478,5.550114760165996e-06,266.1433109682342
0.37000000000000016,-0.00017334988682660146,7.024489104574188e-05,3368.4362737316555,-0.0001740928352218507,7.156349621244134e-05,3431.667028425946,-0.00017334988652270567,7.024488949828177e-05,3368.436199526675,-0.0001740928349214521,7.156349460075886e-05,3431.666951141325
0.38000000000000017,-0.00017305257517055694,-1.0782559838465387e-05,-517.0534845006443,-0.00017375020024737453,-3.0365013156160702e-06,-145.60861330249134,-0.0001730525748768752,-1.0782560327252783e-05,-517.0535079393482,-0.00017375019995782837,-3.036501872919731e-06,-145.608640026739
0.3900000000000002,-0.00017406628221319775,-0.0001919588486864127,-8079.418445218927,-0.00017467119176947654,-0.00018116180310468757,-7713.773809648229,-0.00017406628191740658,-0.00019195884778393712,-8079.418414831256,-0.00017467119147851484,-0.0001811618022666496,-7713.773781101657
0.4000000000000002,-0.00017725304433735545,-0.00044539357614446036,-15841.954129608277,-0.00017773586789512907,-0.0004317734220199241,-15453.196135696548,-0.00017725304402427255,-0.00044539357358733007,-15841.954056845769,-0.00017773586758745852,-0.0004317734195189186,-15453.196064087642
0.4100000000000002,-0.00018326617741018514,-0.0007572330384240031,-24221.28811134477,-0.00018361145566209158,-0.0007433441313801645,-23865.224599485682,-0.00018326617706324044,-0.0007572330342027912,-24221.288003327092,-0.00018361145532103107,-0.000743344127194475,-23865.224491979705
0.4200000000000002,-0.00019228431165899118,-0.0010463938113286614,-31373.987720758574,-0.00019250722380886875,-0.001035809497970423,-31119.850609025,-0.00019228431126241952,-0.0010463938056353992,-31373.987584197872,-0.00019250722341848658,-0.001035809492297863,-31119.85047268393
0.4300000000000002,-0.0002039376490813316,-0.0012842736731285814,-36960.654760075005,-0.00020406676884776598,-0.0012760995098001185,-36772.33650880847,-0.00020393764862072783,-0.0012842736660170103,-36960.654596341476,-0.00020406676839351823,-0.001276099502701092,-36772.3363451549
